"Suburb","Number of Sales","Median Sale Price","Difference Between Sales Price and CV","Capital Value Date"
"Henderson Valley","4","$937,000","27.0%","Jul 2014"
"Herald Island","0","$0",".0%","Jul 2014"
"Herne Bay","13","$1,752,000","38.0%","Jul 2014"
"Highland Park","20","$874,500","42.0%","Jul 2014"
"Hillcrest","44","$969,500","34.0%","Jul 2014"
"Hillsborough","26","$929,000","40.0%","Jul 2014"
"Hobsonville","31","$880,000","30.0%","Jul 2014"
"Howick","42","$880,500","32.0%","Jul 2014"
"Huapai","20","$945,000","18.0%","Jul 2014"
"Huia","2","$545,000","25.0%","Jul 2014"
"Huntington Park","2","$1,086,900","53.0%","Jul 2014"
"Kaipara Flats","1","$684,000","34.0%","Jul 2014"
"Kaiwaka","3","$366,500","36.0%","Jul 2014"
"Karaka","41","$926,000","25.0%","Jul 2014"
"Karekare","0","$0",".0%","Jul 2014"
"Kawakawa Bay","4","$589,000","33.0%","Jul 2014"
"Kawau Island","0","$0",".0%","Jul 2014"
"Kelston","21","$684,000","44.0%","Jul 2014"
"Kingseat","1","$1,520,000","12.0%","Jul 2014"
"Kingsland","9","$742,000","46.0%","Jul 2014"
"Kohimarama","22","$1,384,500","31.0%","Jul 2014"
"Kumeu","7","$1,025,000","28.0%","Jul 2014"
"Laingholm","3","$942,000","43.0%","Jul 2014"
"Leigh","6","$788,000","15.0%","Jul 2014"
"Long Bay","7","$1,585,000","24.0%","Jul 2014"
"Lucas Heights","1","$2,220,000","38.0%","Jul 2014"
"Lynfield","13","$795,000","44.0%","Jul 2014"
"Mahurangi East","2","$1,404,300","4.0%","Jul 2014"
"Mahurangi West","1","$1,305,000","13.0%","Jul 2014"
"Mairangi Bay","19","$1,430,000","48.0%","Jul 2014"
"Makarau","0","$0",".0%","Jul 2014"
"Mangawhai","10","$532,500","43.0%","Jul 2014"
"Mangere","28","$639,000","50.0%","Jul 2014"
"Mangere Bridge","27","$804,000","38.0%","Jul 2014"
"Mangere East","55","$600,000","52.0%","Jul 2014"
"Manly","19","$714,000","27.0%","Jul 2014"
"Manukau","8","$499,000","29.0%","Jul 2014"
"Manukau Heads","2","$576,000","15.0%","Jul 2014"
"Manurewa","177","$594,000","52.0%","Jul 2014"
"Manurewa East","15","$616,000","61.0%","Jul 2014"
"Maraetai","15","$1,089,000","29.0%","Jul 2014"
"Massey","105","$692,000","42.0%","Jul 2014"
"Matakana","2","$883,500","28.0%","Jul 2014"
"Matakatia","4","$1,420,500","38.0%","Jul 2014"
"Mauku","1","$930,000","19.0%","Jul 2014"
"Meadowbank","17","$1,413,000","48.0%","Jul 2014"
"Mellons Bay","13","$1,152,000","22.0%","Jul 2014"
"Milford","25","$1,289,000","45.0%","Jul 2014"
"Mission Bay","22","$1,473,000","42.0%","Jul 2014"
"Morningside","14","$795,752","47.0%","Jul 2014"
"Mount Albert","63","$835,000","40.0%","Jul 2014"
"Mount Eden","70","$1,385,000","38.0%","Jul 2014"
"Mount Roskill","82","$844,500","36.0%","Jul 2014"
"Mount Wellington","92","$689,500","40.0%","Jul 2014"
"Muriwai","4","$956,000","25.0%","Jul 2014"
"Murrays Bay","15","$1,405,000","37.0%","Jul 2014"
"Narrow Neck","9","$1,547,000","48.0%","Jul 2014"
"New Lynn","78","$681,000","49.0%","Jul 2014"
"New Windsor","14","$974,500","35.0%","Jul 2014"
"Newmarket","8","$667,500","48.0%","Jul 2014"
"Northcote","17","$1,155,000","49.0%","Jul 2014"
"Northcote Point","16","$1,256,500","31.0%","Jul 2014"
"Northcross","15","$1,028,000","37.0%","Jul 2014"
"Northpark","18","$1,211,500","48.0%","Jul 2014"
"Okura","1","$1,135,000","27.0%","Jul 2014"
"Omaha","7","$929,000","21.0%","Jul 2014"
"Omiha","4","$658,500","47.0%","Jul 2014"
"One Tree Hill","16","$905,500","40.0%","Jul 2014"
"Onehunga","64","$877,500","38.0%","Jul 2014"
"Oneroa","22","$1,050,000","51.0%","Jul 2014"
"Onetangi","7","$642,000","32.0%","Jul 2014"
"Opaheke","13","$630,000","43.0%","Jul 2014"
"Orakei","25","$1,409,000","26.0%","Jul 2014"
"Oratia","6","$1,192,500","24.0%","Jul 2014"
"Orere Point","3","$333,000","26.0%","Jul 2014"
"Orewa","66","$842,500","26.0%","Jul 2014"
"Ostend","11","$880,000","51.0%","Jul 2014"
"Otahuhu","28","$572,500","54.0%","Jul 2014"
"Otara","27","$518,500","51.0%","Jul 2014"
"Oteha","26","$845,000","31.0%","Jul 2014"
"Paerata","2","$527,000","48.0%","Jul 2014"
"Pahurehure","18","$735,250","45.0%","Jul 2014"
"Pakiri","0","$0",".0%","Jul 2014"
"Pakuranga","36","$842,000","45.0%","Jul 2014"
"Pakuranga Heights","21","$922,000","40.0%","Jul 2014"
"Palm Beach","3","$702,500","59.0%","Jul 2014"
"Panmure","19","$667,000","45.0%","Jul 2014"
"Papakura","127","$542,000","50.0%","Jul 2014"
"Papatoetoe","163","$633,000","51.0%","Jul 2014"
"Parakai","8","$592,500","37.0%","Jul 2014"
"Parau","3","$562,000","51.0%","Jul 2014"
"Paremoremo","1","$839,000","39.0%","Jul 2014"
"Parnell","34","$1,070,000","28.0%","Jul 2014"
"Patumahoe","7","$885,000","28.0%","Jul 2014"
"Penrose","1","$597,000","68.0%","Jul 2014"
"Piha","3","$689,000","18.0%","Jul 2014"
"Pinehill","7","$958,000","44.0%","Jul 2014"
"Point Chevalier","22","$1,264,000","29.0%","Jul 2014"
"Point England","11","$772,000","46.0%","Jul 2014"
"Point Wells","2","$1,480,500","33.0%","Jul 2014"
"Pollok","1","$345,000","40.0%","Jul 2014"
"Ponsonby","25","$1,540,000","27.0%","Jul 2014"
"Port Albert","1","$481,000","65.0%","Jul 2014"
"Puhoi","0","$0",".0%","Jul 2014"
"Pukekohe","148","$588,000","30.0%","Jul 2014"
"Rakino Island","2","$370,000","47.0%","Jul 2014"
"Randwick Park","31","$544,000","44.0%","Jul 2014"
"Ranui","55","$663,000","42.0%","Jul 2014"
"Red Beach","33","$762,000","34.0%","Jul 2014"
"Red Hill","12","$514,500","62.0%","Jul 2014"
"Remuera","108","$1,533,000","35.0%","Jul 2014"
"Riverhead","9","$1,007,000","24.0%","Jul 2014"
"Rosedale","1","$1,480,000","62.0%","Jul 2014"
"Rosehill","29","$836,000","40.0%","Jul 2014"
"Rothesay Bay","12","$1,205,000","38.0%","Jul 2014"
"Royal Oak","14","$811,500","38.0%","Jul 2014"
"Saint Johns","31","$890,000","40.0%","Jul 2014"
"Saint Marys Bay","14","$1,381,500","31.0%","Jul 2014"
"Sandringham","45","$797,000","42.0%","Jul 2014"
"Sandspit","1","$754,000","25.0%","Jul 2014"
"Schnapper Rock","11","$1,348,000","30.0%","Jul 2014"
"Shamrock Park","1","$1,373,000","38.0%","Jul 2014"
"Shelly Beach","0","$0",".0%","Jul 2014"
"Shelly Park","7","$882,000","22.0%","Jul 2014"
"Silverdale","29","$1,140,000","32.0%","Jul 2014"
"Snells Beach","15","$575,000","36.0%","Jul 2014"
"Somerville","14","$1,234,000","37.0%","Jul 2014"
"St Heliers","51","$1,325,000","34.0%","Jul 2014"
"Stanley Point","3","$1,881,500","52.0%","Jul 2014"
"Stanmore Bay","29","$674,000","35.0%","Jul 2014"
"Stillwater","3","$867,000","32.0%","Jul 2014"
"Stonefields","59","$1,083,000","32.0%","Jul 2014"
"Sunnyhills","17","$1,152,000","39.0%","Jul 2014"
"Sunnynook","13","$808,000","33.0%","Jul 2014"
"Sunnyvale","20","$654,000","42.0%","Jul 2014"
"Surfdale","15","$735,000","43.0%","Jul 2014"
"Swanson","16","$777,500","36.0%","Jul 2014"
"Takanini","66","$709,500","43.0%","Jul 2014"
"Takapuna","16","$1,720,500","47.0%","Jul 2014"
"Tapora","0","$0",".0%","Jul 2014"
"Tawharanui Peninsula","3","$536,000","6.0%","Jul 2014"
"Te Atatu Peninsula","48","$919,500","37.0%","Jul 2014"
"Te Atatu South","58","$724,000","41.0%","Jul 2014"
"Te Hana","1","$347,000","98.0%","Jul 2014"
"The Gardens","17","$949,000","28.0%","Jul 2014"
"Three Kings","11","$1,127,000","46.0%","Jul 2014"
"Ti Point","1","$739,000","67.0%","Jul 2014"
"Tindalls Beach","3","$1,094,000","8.0%","Jul 2014"
"Titirangi","41","$825,000","29.0%","Jul 2014"
"Torbay","57","$889,000","28.0%","Jul 2014"
"Totara Heights","13","$704,000","32.0%","Jul 2014"
"Totara Vale","23","$702,000","31.0%","Jul 2014"
"Unsworth Heights","21","$972,000","38.0%","Jul 2014"
"Wai O Taiki Bay","1","$1,185,000","33.0%","Jul 2014"
"Waiake","5","$1,269,000","35.0%","Jul 2014"
"Waiatarua","5","$723,000","30.0%","Jul 2014"
"Waiau Pa","2","$954,500","63.0%","Jul 2014"
"Waiheke Island","2","$1,251,500","52.0%","Jul 2014"
"Waimauku","8","$1,017,000","32.0%","Jul 2014"
"Wainui","1","$1,167,000","59.0%","Jul 2014"
"Waitakere","1","$669,000","39.0%","Jul 2014"
"Waitoki","1","$1,185,000","51.0%","Jul 2014"
"Waiuku","55","$562,000","37.0%","Jul 2014"
"Waiwera","1","$355,000","61.0%","Jul 2014"
"Warkworth","25","$726,000","38.0%","Jul 2014"
"Waterview","15","$917,000","35.0%","Jul 2014"
"Wattle Downs","49","$724,000","34.0%","Jul 2014"
"Wellsford","16","$446,500","52.0%","Jul 2014"
"West Harbour","23","$899,000","41.0%","Jul 2014"
"Westmere","16","$1,637,500","30.0%","Jul 2014"
"Weymouth","50","$557,500","51.0%","Jul 2014"
"Whakatiwai","2","$518,500","8.0%","Jul 2014"
"Whangateau","2","$1,056,250","68.0%","Jul 2014"
"Whenuapai","3","$897,000","39.0%","Jul 2014"
"Windsor Park","4","$1,003,500","27.0%","Jul 2014"
"Wiri","4","$497,000","58.0%","Jul 2014"
